,util_linhas_inseguras,idade,vezes_passou_de_30_59_dias,razao_debito,salario_mensal,numero_linhas_crdto_aberto,numero_vezes_passou_90_dias,numero_emprestimos_imobiliarios,numero_de_vezes_que_passou_60_89_dias,numero_de_dependentes,inadimplente
0,0.0258,62,0,0.0818,8180,3,0,2,0,0,0
1,0.6671,55,0,0.1531,2200,3,0,0,0,0,0
2,0.0071,44,0,0.1488,7499,20,0,1,0,0,0
3,0.0912,54,0,0.3516,5900,15,0,1,1,0,0
4,0.1127,54,0,0.066,2167,3,0,0,0,0,0
5,0.324,42,0,0.3522,10415,8,0,2,0,2,0
6,0.0073,63,0,0.0023,4368,2,0,0,0,0,0
7,0.0,76,1,0.2616,1700,4,0,0,0,0,0
8,0.0623,55,0,0.4067,15658,14,1,3,0,0,0
9,0.4799,41,1,0.2099,8441,6,0,3,0,0,0
10,0.0403,49,0,0.1142,200,7,0,2,0,0,0
11,0.8434,56,1,0.5927,6400,5,0,2,0,1,0
12,0.0013,66,0,0.0,2150,2,0,0,0,1,0
13,0.9640000000000001,41,0,0.0593,10749,9,1,0,0,0,0
14,0.5942,64,1,0.1648,7083,19,0,5,0,0,0
15,0.1931,69,0,0.4028,5188,7,0,2,0,0,0
16,0.1426,79,0,0.0828,10500,22,0,0,0,0,0
17,0.022000000000000002,73,0,0.2781,3922,8,0,1,0,0,0
18,0.032,65,0,0.0094,5000,5,0,0,0,2,0
19,0.1154,75,0,0.1477,0,6,0,1,0,0,0
20,0.4635,53,0,0.4078,9939,12,0,1,0,0,0
21,0.3859,59,0,0.2389,7930,5,0,1,0,2,0
22,0.2102,55,0,0.3027,5562,11,0,1,0,0,0
23,0.0256,45,0,0.3354,8950,10,0,1,0,2,0
24,0.0313,52,0,0.3854,2975,9,0,1,0,0,0
25,0.0219,76,0,0.0432,2500,15,0,1,0,0,0
26,0.0174,56,0,0.8932,2835,11,0,2,0,0,0
27,0.0015,43,4,0.4925,5833,8,1,1,3,0,1
28,0.5253,36,0,0.1275,4863,6,0,0,0,3,0
29,0.1861,31,0,0.5324,8160,7,0,2,0,0,0
30,0.0228,67,0,0.0758,6862,7,0,1,0,0,0
31,0.1079,46,0,0.34299999999999997,7450,14,0,2,0,1,0
32,0.1901,67,0,0.0759,4453,8,0,0,0,0,0
33,0.0268,49,0,0.1285,5866,3,0,1,0,0,0
34,0.1885,62,3,0.8177,6500,16,0,3,2,0,0
35,1.0,34,1,0.0912,5800,4,0,0,0,4,0
36,0.0,59,1,0.2232,5416,6,0,1,0,1,0
37,0.1658,46,0,0.1098,3732,4,0,0,0,0,0
38,0.0167,55,0,0.1404,4400,19,0,2,0,0,0
39,0.0229,49,0,0.3005,8900,8,0,2,0,0,0
40,0.0549,53,0,0.1423,4166,16,0,0,0,0,0
41,0.0001,83,0,0.1766,4694,8,0,1,0,0,0
42,0.0934,34,0,0.2527,1000,8,0,2,0,0,0
43,0.0793,65,0,0.0221,3750,3,0,0,0,0,0
44,0.0402,72,2,0.2744,5866,17,0,2,0,1,0
45,0.0091,79,0,0.0271,4500,11,0,0,0,0,0
46,0.0102,84,0,0.0033,3001,5,0,0,0,1,0
47,0.6865,71,0,0.3093,6000,11,0,0,0,1,0
48,0.0668,56,0,0.0379,12000,4,0,1,0,1,0
49,0.0117,54,0,0.1814,7200,6,0,0,0,0,0
50,0.1827,50,0,0.028999999999999998,5000,15,0,0,0,0,0
51,0.0228,49,0,0.8791,6600,15,0,5,0,2,0
52,0.2002,79,0,0.2562,4273,6,0,0,0,0,0
53,1.0,48,0,0.5397,15000,12,0,5,0,0,0
54,0.1798,37,0,0.0294,6232,3,0,0,0,0,0
55,0.0618,59,1,0.5286,3213,17,0,1,0,0,0
56,0.7190000000000001,55,0,0.244,10916,9,0,2,0,1,0
57,0.9525,47,0,0.3404,5560,10,0,0,0,3,0
58,0.0143,56,0,0.4049,6860,6,0,1,0,2,0
59,0.5905,54,1,0.1267,0,7,0,1,0,1,0
60,0.1938,37,2,0.1953,5677,8,0,1,0,0,0
61,0.0517,69,0,0.0074,3668,5,0,0,0,0,0
62,0.0034,52,0,0.0006,5115,4,0,0,0,0,0
63,0.0067,76,0,0.1484,5000,6,0,1,0,0,0
64,0.8519,46,1,0.3784,12040,13,0,2,0,1,0
65,0.2422,76,0,0.8309,2714,21,0,1,0,0,0
66,0.0246,70,0,0.1948,7500,12,0,1,0,2,0
67,0.2967,56,0,0.3847,5583,13,0,2,0,1,0
68,0.205,51,0,0.4074,11000,8,0,3,0,1,0
69,0.2442,43,0,0.2351,1333,4,0,1,0,2,0
70,0.5994,63,8,0.4274,7000,13,6,2,3,0,1
71,0.0056,79,0,0.2326,2600,15,0,0,0,0,0
72,0.6037,43,1,0.4084,4000,5,0,1,0,3,0
73,0.0432,45,0,0.1713,5666,8,0,1,0,3,0
74,0.8784,38,0,0.2773,4583,9,0,0,0,1,0
75,0.0589,28,0,0.0809,5500,4,0,0,0,0,0
76,0.8733,44,0,0.021,51140,7,2,1,0,3,0
77,0.4173,48,1,0.2056,1500,23,0,8,0,2,0
78,0.5928,43,0,0.2058,9166,7,0,1,0,2,0
79,0.0004,80,0,0.0,6500,5,0,0,0,0,0
80,0.0355,25,0,0.001,5000,2,0,0,0,0,0
81,0.8591,52,0,0.1609,3000,2,0,0,0,0,0
82,0.1131,27,0,0.131,2800,9,0,0,0,0,0
83,0.6414,28,1,0.1608,3500,5,1,0,0,0,0
84,0.6357,59,0,0.2529,8110,9,0,1,0,0,0
85,0.1831,45,0,0.7913,5600,11,0,2,0,1,0
86,0.3473,23,0,0.0945,2200,3,0,0,0,0,0
87,0.5291,64,1,0.7131,2749,10,0,0,0,0,0
88,0.0,45,0,0.0,5200,1,0,0,0,2,0
89,0.0028,90,0,0.0765,7083,9,0,0,0,0,0
90,0.0,43,0,0.0,2300,8,0,0,0,1,0
91,0.0,43,0,0.1971,5708,3,0,1,0,2,0
92,0.012,51,0,0.0032,13455,10,0,0,0,1,0
93,0.105,26,0,0.0732,6500,6,0,0,1,0,0
94,0.5666,37,1,0.3026,12996,9,0,1,0,4,0
95,0.3274,83,0,0.3828,2000,10,0,0,0,0,0
96,0.0118,89,0,0.0015,3400,4,0,0,0,0,0
97,0.0356,50,0,0.4972,15000,9,0,4,0,2,0
98,0.9704,40,0,0.391,5600,5,0,1,0,1,0
99,0.0158,50,0,0.1493,4667,5,0,1,0,2,0
100,0.1933,49,0,0.1157,4000,5,0,1,0,2,0
101,0.0459,63,0,0.024,2500,11,0,0,0,0,0
102,0.0,45,1,0.3747,10483,17,0,3,0,0,0
103,0.045,63,0,0.1524,9500,4,0,1,0,0,0
104,0.3037,54,0,0.6695,3600,11,0,1,0,0,0
105,0.0122,64,0,0.0014,32000,3,0,0,0,0,0
106,0.831,43,0,0.127,8804,13,0,0,0,0,0
107,0.0,38,1,0.9151,1400,3,1,1,0,2,0
108,0.5498,43,0,0.47700000000000004,8500,7,0,2,0,2,0
109,0.0177,53,0,0.2684,9100,6,0,1,0,0,0
110,0.0657,50,0,0.265,3626,6,0,1,0,1,0
111,0.0,38,0,0.3823,12800,11,0,4,0,0,0
112,0.1354,57,0,0.4084,6667,15,0,1,0,0,0
