"util_linhas_inseguras","idade","vezes_passou_de_30_59_dias","razao_debito","salario_mensal","numero_linhas_crdto_aberto","numero_vezes_passou_90_dias","numero_emprestimos_imobiliarios","numero_de_vezes_que_passou_60_89_dias","numero_de_dependentes"
0.0258,62,0,0.0818,8180,3,0,2,0,0
0.6671,55,0,0.1531,2200,3,0,0,0,0
0.0071,44,0,0.1488,7499,20,0,1,0,0
0.0912,54,0,0.3516,5900,15,0,1,1,0
0.1127,54,0,0.066,2167,3,0,0,0,0
0.324,42,0,0.3522,10415,8,0,2,0,2
0.0073,63,0,0.0023,4368,2,0,0,0,0
0,76,1,0.2616,1700,4,0,0,0,0
0.0623,55,0,0.4067,15658,14,1,3,0,0
0.4799,41,1,0.2099,8441,6,0,3,0,0
0.0403,49,0,0.1142,200,7,0,2,0,0
0.8434,56,1,0.5927,6400,5,0,2,0,1
0.0013,66,0,0,2150,2,0,0,0,1
0.964,41,0,0.0593,10749,9,1,0,0,0
0.5942,64,1,0.1648,7083,19,0,5,0,0
0.1931,69,0,0.4028,5188,7,0,2,0,0
0.1426,79,0,0.0828,10500,22,0,0,0,0
0.022,73,0,0.2781,3922,8,0,1,0,0
0.032,65,0,0.0094,5000,5,0,0,0,2
0.1154,75,0,0.1477,0,6,0,1,0,0
0.4635,53,0,0.4078,9939,12,0,1,0,0
0.3859,59,0,0.2389,7930,5,0,1,0,2
0.2102,55,0,0.3027,5562,11,0,1,0,0
0.0256,45,0,0.3354,8950,10,0,1,0,2
0.0313,52,0,0.3854,2975,9,0,1,0,0
0.0219,76,0,0.0432,2500,15,0,1,0,0
0.0174,56,0,0.8932,2835,11,0,2,0,0
0.0015,43,4,0.4925,5833,8,1,1,3,0
0.5253,36,0,0.1275,4863,6,0,0,0,3
0.1861,31,0,0.5324,8160,7,0,2,0,0
0.0228,67,0,0.0758,6862,7,0,1,0,0
0.1079,46,0,0.343,7450,14,0,2,0,1
0.1901,67,0,0.0759,4453,8,0,0,0,0
0.0268,49,0,0.1285,5866,3,0,1,0,0
0.1885,62,3,0.8177,6500,16,0,3,2,0
1,34,1,0.0912,5800,4,0,0,0,4
0,59,1,0.2232,5416,6,0,1,0,1
0.1658,46,0,0.1098,3732,4,0,0,0,0
0.0167,55,0,0.1404,4400,19,0,2,0,0
0.0229,49,0,0.3005,8900,8,0,2,0,0
0.0549,53,0,0.1423,4166,16,0,0,0,0
0.0001,83,0,0.1766,4694,8,0,1,0,0
0.0934,34,0,0.2527,1000,8,0,2,0,0
0.0793,65,0,0.0221,3750,3,0,0,0,0
0.0402,72,2,0.2744,5866,17,0,2,0,1
0.0091,79,0,0.0271,4500,11,0,0,0,0
