"inadimplente","util_linhas_inseguras","idade","vezes_passou_de_30_59_dias","razao_debito","salario_mensal","numero_linhas_crdto_aberto","numero_vezes_passou_90_dias","numero_emprestimos_imobiliarios","numero_de_vezes_que_passou_60_89_dias","numero_de_dependentes"
1,0.7661,45,2,0.803,9120,13,0,6,0,2
0,0.9572,40,0,0.1219,2600,4,0,0,0,1
0,0.6582,38,1,0.0851,3042,2,1,0,0,0
0,0.2338,30,0,0.036,3300,5,0,0,0,0
0,0.9072,49,1,0.0249,63588,7,0,1,0,0
0,0.2132,74,0,0.3756,3500,3,0,1,0,1
0,0.7545,39,0,0.2099,3500,8,0,0,0,0
0,0.1892,57,0,0.6063,23684,9,0,4,0,2
0,0.6442,30,0,0.3095,2500,5,0,0,0,0
0,0.0188,51,0,0.5315,6501,7,0,2,0,2
0,0.0104,46,0,0.2984,12454,13,0,2,0,2
1,0.9647,40,3,0.383,13700,9,3,1,1,2
0,0.0197,76,0,0.477,0,6,0,1,0,0
0,0.5485,64,0,0.2099,11362,7,0,1,0,2
0,0.1663,53,0,0.1883,8800,7,0,0,0,0
0,0.2218,43,0,0.5279,3280,7,0,1,0,2
0,0.6028,25,0,0.0659,333,2,0,0,0,0
0,0.2009,43,0,0.43,12300,10,0,2,0,0
1,0.0257,38,0,0.4758,3000,7,0,1,0,2
0,1,39,0,0.2411,2500,4,0,0,0,0
0,0.0754,32,0,0.0855,7916,6,0,0,0,0
0,0.0466,58,0,0.2416,2416,9,0,1,0,0
1,0.3922,50,0,0.1595,4676,14,0,3,0,1
0,0.0524,58,0,0.0977,8333,22,0,1,0,0
0,0.0344,69,0,0.0424,2500,17,0,0,0,1
0,0.4525,24,0,0.0118,3400,1,0,0,0,0
0,0.393,58,2,0.4361,5500,15,0,1,0,0
0,0.7041,28,1,0.1552,4200,8,0,0,0,0
0,1,24,0,0.4727,750,1,0,0,0,0
0,0.1869,57,0,0.3138,7000,9,0,2,0,0
0,0.6933,42,2,0.2577,2230,7,0,0,0,0
0,0,64,0,0.0735,11000,9,0,1,0,0
0,0.8818,50,3,0.5679,4000,9,0,1,0,1
0,1,75,1,0.1341,3400,1,0,1,0,1
0,0.3636,26,0,0.01,1000,1,0,0,0,0
0,0.3045,52,0,0.8083,3500,10,0,2,0,0
0,0.72,41,1,0.5396,5700,14,0,1,0,0
0,0.4691,31,0,0.0482,9250,4,0,0,0,1
0,0.7187,28,0,0.1701,3661,4,0,0,0,1
0,0.3689,68,0,0.1688,1,31,0,1,0,0
0,0.0006,70,0,0.1778,16800,12,0,1,0,2
0,0.0614,62,0,0.0112,3133,2,0,0,0,0
0,0.1401,31,0,0.6894,1937,4,0,2,0,0
0,0.834,38,0,0.3937,13000,13,0,2,0,2
0,0.0001,70,0,0.2563,6900,21,1,1,0,0
0,0.819,73,0,0.3095,0,9,0,1,1,0
1,0.7282,31,0,0.8247,3000,10,0,2,0,1
0,0.0286,51,0,0.3064,5750,5,0,1,0,0
0,0.992,29,0,0.0081,2231,1,0,0,0,0
0,0.0709,55,0,0.0731,13793,4,0,1,0,0
0,0.455,46,1,0.0169,13000,10,0,0,0,1
0,0.4012,64,0,0.3513,3216,4,0,1,0,0
0,0.6556,35,0,0.2616,5813,10,0,0,0,2
0,0.6516,58,0,0.2411,7783,11,0,1,0,0
0,0.0274,69,0,0.008,5600,3,0,0,0,0
0,0.0098,46,0,0.1051,3326,6,0,2,0,2
0,0.3375,60,0,0.5499,4500,10,0,2,0,0
0,0,67,0,0.541,3720,2,0,1,0,0
0,0.7509,55,2,0.3164,7723,17,0,1,0,1
0,0.0068,27,1,0.681,764,3,0,0,0,0
0,0.0043,31,0,0.1114,2000,6,1,0,0,2
0,0.2695,64,0,0.1611,9455,13,0,1,0,3
0,0.2659,36,0,0.2626,8384,6,0,2,0,1
0,0.8277,56,0,0.3696,6793,15,1,1,0,0
0,0.0597,31,0,0.3162,0,11,0,2,0,1
1,0.1331,49,1,0.1829,10257,9,0,2,0,3
0,0.2342,36,0,0.1166,8600,19,0,0,0,3
0,0.1223,29,0,0.6946,4800,5,0,1,0,0
0,0.4604,37,0,0.0742,4975,6,0,0,0,0
0,0.3356,69,0,0.2704,15000,14,0,2,0,1
0,0.2705,41,0,0.2798,1042,11,0,2,0,2
0,0.1833,52,0,0.1111,10833,14,0,2,0,1
0,0.0749,66,0,0.2088,4500,3,0,1,0,0
0,0.0173,53,0,0.2605,12414,13,0,1,0,2
0,0.0545,56,0,0.492,4950,18,0,2,0,0
0,0.0292,31,0,0.395,3300,10,0,1,0,0
0,0,58,0,0.3161,4886,9,0,1,0,1
0,0.0037,64,0,0.0041,3200,5,0,0,1,0
1,0.7345,45,0,0.5915,4716,13,0,2,0,2
0,0.0806,60,0,0.4873,4916,15,0,2,0,0
0,0.0394,51,0,0.1547,0,7,0,0,0,0
0,0.0238,83,0,0.1238,10500,13,0,0,0,0
0,0.8888,34,0,0.3684,3050,4,0,0,0,1
0,0.7912,44,0,0.5124,3100,5,0,1,0,0
0,0.2454,37,0,0.2884,6500,11,1,1,1,0
0,0.0105,57,0,0.2807,5714,6,0,1,0,0
0,0.3632,32,0,0.4805,2900,4,0,1,0,0
0,0.0326,75,0,0.0068,7500,4,0,0,0,0
0,0.0194,34,0,0.3259,4000,9,0,1,0,0
0,0.6345,52,0,0.1382,2690,2,0,0,0,0
0,0.888,44,0,0.2992,4908,8,0,0,0,1
0,0.0031,57,0,0.2589,8333,7,0,1,0,0
0,0.1148,46,0,0.0262,6250,6,0,0,0,3
0,0.0189,80,0,0.0035,10060,5,0,0,0,0
0,0.6354,32,0,0.5195,3000,4,0,1,0,1
0,1,62,0,0.6642,8314,8,0,3,0,0
0,0.0967,47,0,0.0097,8000,2,0,0,0,2
0,0.3184,58,0,0.1383,3833,26,0,4,0,0
0,0.187,52,0,0.024,3500,4,0,0,0,0
0,0.0065,68,0,0.1081,10000,10,0,2,0,1
0,0.181,39,1,0.3844,3097,7,0,1,0,3
0,0.0679,46,0,0.1491,10200,6,0,2,0,0
0,0.0335,44,0,0.1243,4067,5,0,2,0,1
0,0.0153,68,0,0.1229,8168,6,0,0,0,0
0,0.5171,31,0,0.1238,500,3,0,0,0,0
0,0.318,34,0,0.2979,4500,11,0,2,0,0
0,0.2976,67,0,0.2395,4145,13,0,0,0,0
0,0.4448,58,0,0.3665,14000,9,0,2,1,4
0,0.0037,58,0,0.6333,3228,5,0,1,0,0
0,0,61,0,0.2227,3300,14,0,1,0,0
0,0,59,0,0.2189,19167,13,0,2,0,0
0,0.1519,36,0,0.2664,12000,22,0,2,0,0
0,0,59,0,0.3517,4500,12,0,1,0,0
0,0.0115,77,0,0.002,1000,1,0,0,0,0
0,0,48,0,0.5175,4550,7,0,2,0,0
0,0.163,81,0,0.0865,2751,7,0,0,0,1
0,0.0473,51,0,0.1009,3150,5,0,0,0,0
0,0.0839,53,0,0.1996,7943,8,0,1,0,0
0,0.0895,56,0,0.1066,2700,11,0,1,0,2
